as,org_name,country,category,sub_category
28204,Keraxweb Serviços de Int. e Internet Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28205,Ibituruna TV por assinatura S/C Ltda,BR,Computer and Information Technology,Hosting and Cloud Provider
28207,Teleon Telecomunicaçoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28208,Superline Telecomunicações Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28209,Under Servicos de Internet Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28210,SUMICITY TELECOMUNICACOES S.A.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28211,Bidobens Participações e Empreendimentos Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28212,COPREL TELECOM LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28213,LCI Equipamentos de Informatica LTDA - LCI Telecom,BR,Computer and Information Technology,Internet Service Provider (ISP)
28215,Trucks Control - Serviços de Logística Ltda,BR,"Freight, Shipment, and Postal Services",
28216,Host One Servicos de Internet Ltda,BR,Computer and Information Technology,Hosting and Cloud Provider
28218,Tv Cabo de Presidente Venceslau S/S Ltda. EPP,BR,Computer and Information Technology,Internet Service Provider (ISP)
28219,Net Rosas Telecomunicações Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28220,CABO SERVICOS DE TELECOMUNICACOES LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28222,INSTITUTO NACIONAL DE PESQUISAS ESPACIAIS,BR,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services"
28223,Linca Telecomunicações LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28224,MHNET TELECOM,BR,Computer and Information Technology,Internet Service Provider (ISP)
28225,Provedornet Telecom. e Serviços de Internet Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28226,Vogel Soluções em Telecom e Informática S/A,BR,Computer and Information Technology,Internet Service Provider (ISP)
28227,NOVACIA TECNOLOGIA E TELECOMUNICACOES LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28229,HARDONLINE LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28230,MS LINK-TECNOLOGIA E COMUNICAÇÕES LTDA ME,BR,,
28231,Gigawire Informatica Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28232,BIT INFORMATICA LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
28233,I-CONECTA REDES DE TELECOMUNICACAO EIRELI EPP,BR,Computer and Information Technology,Internet Service Provider (ISP)
28234,Wireless Desenvolvimento de Sistemas Informatizada,BR,Computer and Information Technology,Internet Service Provider (ISP)
28236,PRTURBO INTERNET WIRELLESS EPP LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
28238,Sator Engenharia Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28239,IWserver Internet Banda Larga Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28240,VIP - SERVIÇOS DE TELECOMUNICAÇÕES LTDA.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28241,VERO S.A,BR,Computer and Information Technology,Internet Service Provider (ISP)
28243,FCA FIAT CHRYSLER AUTOMOVEIS BRASIL LTDA,BR,Manufacturing,Automotive and Transportation
28246,REDE SIVNET TELECOMUNICACOES LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28247,Intercampo Empreendimentos Tecnológicos Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28248,BRB - Banco de Brasília S/A,BR,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
28249,EMPRESA EDITORA A TARDE S.A.,BR,"Media, Publishing, and Broadcasting",Online Informational Content
28250,Vogel Soluções em Telecom e Informática S/A,BR,Computer and Information Technology,Internet Service Provider (ISP)
28251,Cizol Com. e Serviços de Equip de Informatica Ltda,BR,Service,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
28252,WorldNet Telecom Comercio e Serviços de Telecomuni,BR,Computer and Information Technology,Internet Service Provider (ISP)
28253,Operador Nacional do Sistema Elétrico,BR,Community Groups and Nonprofits,Other
28254,Arganet Comunicação e Monitoramento Digital Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28255,STOCK MIDIA INFORMATICA EIRELI,BR,Computer and Information Technology,Internet Service Provider (ISP)
28256,HPE AUTOMOTORES DO BRASIL LTDA,BR,Manufacturing,Automotive and Transportation
28257,CONCEITOS NET SERVICOS DE COMUNICACAO E MULTIMIDIA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28258,VERO S.A,BR,Computer and Information Technology,Internet Service Provider (ISP)
28260,ALTA REDE CORPORATE NETWORK TELECOM LTDA - EPP,BR,Computer and Information Technology,Internet Service Provider (ISP)
28261,EMPRESA SERGIPANA DE TECNOLOGIA DA INFORMAÇÃO,BR,Computer and Information Technology,Hosting and Cloud Provider
28262,INTERNEXO LTDA.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28263,Ensite Brasil Telecomunicações Ltda - ME,BR,Computer and Information Technology,Internet Service Provider (ISP)
28264,ADLLink Provedor de Internet Via Radio LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28265,ABCREDE PROVEDOR DE INTERNET EIRELI,BR,Computer and Information Technology,Internet Service Provider (ISP)
28266,Vante Provedor de Internet Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28267,LANTEC COMUNICACAO MULTIMIDIA LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28269,COMPUTADORES E SISTEMAS LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28270,Videomar Rede Nordeste S/A,BR,Computer and Information Technology,Internet Service Provider (ISP)
28271,DataCorpore Serviços e Representações,BR,Computer and Information Technology,Internet Service Provider (ISP)
28272,GRUPO REDES,BR,"Retail Stores, Wholesale, and E-commerce Sites",Other
28273,Hispamar Satélites S/A,BR,Computer and Information Technology,
28274,ENTERPRISE SERVICES BRASIL SERVICOS DE TECNOLOGIA,BR,Computer and Information Technology,Hosting and Cloud Provider
28275,Fundação Cásper Líbero,BR,"Media, Publishing, and Broadcasting",Radio and Television Providers
28276,Mikrocenter Informática Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28277,VMAX DIGITAL DO BRASIL LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28278,TELLFREE BRASIL TELEFONIA IP S.A.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28279,Telgo Telecomunicações Goiás Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28283,Adylnet Telecom,BR,Computer and Information Technology,Internet Service Provider (ISP)
28284,V.B. Telecomunicações LTDA.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28285,Beltrãonet Telecomunicações LTDA - EPP,BR,Computer and Information Technology,
28287,FIT Telecom Eireli,BR,Computer and Information Technology,Internet Service Provider (ISP)
28291,MINISTERIO DA SAUDE,BR,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services"
28292,ENGEPLUS INFORMATICA LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28293,InterCorp Provedor de Internet LTDA ME,BR,Computer and Information Technology,Internet Service Provider (ISP)
28294,B S Costa Telecom,BR,Computer and Information Technology,Internet Service Provider (ISP)
28295,Diagnosticos da America S.A.,BR,Health Care Services,Medical Laboratories and Diagnostic Centers
28296,Acessa Telecomunicações Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28297,Universo Online S.A.,BR,"Media, Publishing, and Broadcasting",
28298,SKY SERVIÇOS DE BANDA LARGA LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28299,Cyberweb Networks Ltda,BR,Computer and Information Technology,Hosting and Cloud Provider
28300,Speed Serviços de Internet Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28301,Departamento de Educação e Cultura do Exército,BR,Education and Research,"Colleges, Universities, and Professional Schools"
28304,Banco Safra SA.,BR,Finance and Insurance,
28305,PERSIS INTERNET LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28306,Voluy Telecom Eireli,BR,Computer and Information Technology,Internet Service Provider (ISP)
28308,Orion Telecomunicações Comercio e Serviços LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28309,WGO Telecomunicações Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28310,SMART TELECOMUNICACOES E SERVICOS LTDA.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28313,Ci&T Software S/A,BR,Computer and Information Technology,Software Development
28315,ADP Brasil LTDA - Sede ADP Labs,BR,Service,"Law, Business, and Consulting Services"
28316,"Metrobank, S.A.",PA,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
28317,NAVEGALO S.A.,CR,Computer and Information Technology,Internet Service Provider (ISP)
28318,CYBERTAP,AR,Computer and Information Technology,Internet Service Provider (ISP)
28319,WISP,CL,Computer and Information Technology,Internet Service Provider (ISP)
28320,Megatelecom Telecomunicacoes Ltda,BR,,
28321,Federação das Câmaras de Dirigentes Lojistas SC,BR,Computer and Information Technology,Hosting and Cloud Provider
28322,Mar Internet Provider Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28323,VIPRede Telecomunicações Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28324,COLOMBO AGROINDÚSTRIA S.A,BR,Manufacturing,"Food, Beverage, and Tobacco"
28326,Total Telecom LTDA-ME,BR,Computer and Information Technology,Internet Service Provider (ISP)
28327,Reitec Fibra - M T Serv Inf Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28328,EBR Informática Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28329,G8 NETWORKS LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28330,IFTNET Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28332,BOA VISTA SERVICOS S.A.,BR,Finance and Insurance,"Banks, Credit Card Companies, Mortgage Providers"
28333,Local Datacenter Soluções em Comunicação Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28334,PROCESS SOLUTIONS TECNOLOGIA DA INFORMAÇÃO LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28335,MAXCOMM LTDA EPP,BR,Computer and Information Technology,Internet Service Provider (ISP)
28336,Dekanet Comunicação Multimídia Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28337,Buzz Telecom LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28338,Net Botanic Internet Inteligente SA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28342,IMICRO PROVEDORES DE INTERNET LTDA,BR,Computer and Information Technology,Hosting and Cloud Provider
28343,UNIFIQUE TELECOMUNICACOES S/A,BR,Computer and Information Technology,Internet Service Provider (ISP)
28344,FIDELITY NATIONAL PARTICIPACOES E SERVICOS DE INFO,BR,Computer and Information Technology,Software Development
28345,Núcleo de Inf. e Coord. do Ponto BR - NIC.BR,BR,Computer and Information Technology,Internet Service Provider (ISP)
28346,IB TELECOMUNICAÇÕES LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28349,CABONNET INTERNET LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28351,Claro NXT Telecomunicacoes Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28352,NETSPEED LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28356,Angellira Rastreamento Satelital Ltda,BR,Computer and Information Technology,Software Development
28357,RBS ZERO HORA EDITORA JORNALÍSTICA,BR,"Media, Publishing, and Broadcasting",Online Informational Content
28358,INTERTELCO TELECOMUNICAÇÕES MULTIMÍDIA LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28359,L M TIKO KAMIDE - SVA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28360,WKVE Asses. em Serviços de Inform. e Telecom. Ltda,BR,Computer and Information Technology,Internet Service Provider (ISP)
28361,RR conect,BR,Computer and Information Technology,Internet Service Provider (ISP)
28362,Onda Internet,BR,Computer and Information Technology,Internet Service Provider (ISP)
28366,Marinter Telecom Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28368,SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME,BR,Computer and Information Technology,Internet Service Provider (ISP)
28369,SIGNALLINK INFORMATICA LTDA,BR,Computer and Information Technology,Internet Service Provider (ISP)
28370,GUIFAMI Informática Ltda.,BR,Computer and Information Technology,Internet Service Provider (ISP)
28371,Gobierno del Estado de Guanajuato,MX,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services"
28372,"Neoris de Mexico, S.A. de C.V.",MX,Service,"Law, Business, and Consulting Services"
28373,"Bajanet Comunicaciones, S.A. de C.V.",MX,Computer and Information Technology,
28374,Expansion S.A. de C.V.,MX,"Media, Publishing, and Broadcasting",Online Informational Content
28375,"Cydsa Corporativo, S.A. de C.V.",MX,Service,"Law, Business, and Consulting Services"
28376,"Gigacable de Aguascalientes, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28377,Network Information Center México,MX,,
28378,"TV Rey de Occidente, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28379,"MANPOWER, S.A. DE C.V.",MX,Service,"Law, Business, and Consulting Services"
28381,"Grupo Hidalguense de Desarrollo, S.A. de C.V.",MX,Computer and Information Technology,Satellite Communication
28382,"Universidad Iberoamericana, A.C.",MX,Education and Research,Elementary and Secondary Schools
28383,Instituto Jalisciense de Tecnologias de la Informacion A.C.,MX,Computer and Information Technology,
28384,AT&T COMUNICACIONES DIGITALES S DE RL,MX,Computer and Information Technology,Internet Service Provider (ISP)
28385,Consorcio para el Intercambio de Trafico de Internet A. C.,MX,Community Groups and Nonprofits,
28386,Binbit Mexico SA de CV,MX,Computer and Information Technology,Software Development
28387,Computadoras y Servicios Especiales SA de CV,MX,Computer and Information Technology,Hosting and Cloud Provider
28390,Universidad Autonoma de Nayarit,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28391,Universidad Juarez Autonoma de Tabasco,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28392,Secretaría de la Hacienda Pública,MX,Construction and Real Estate,Real Estate (Residential and/or Commercial)
28393,Integración de Servicios y Tecnología SA de CV,MX,Other,
28394,Bicentel SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28395,UST GLOBAL DE MEXICO SA DE CV,MX,Computer and Information Technology,
28396,AITelecom S.A. de C.V.,MX,Service,"Buildings, Repair, Maintenance (Pest Control, Landscaping, Cleaning, Locksmiths, Car Washes, etc)"
28397,"Jobnetworks de México, S.A. de C.V.",MX,"Freight, Shipment, and Postal Services",Trucking
28398,INTERNET TELEFONIA Y TV DE MICHOACAN SA DE CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28399,BTU COMUNICACION SA DE CV,MX,Computer and Information Technology,
28400,SECRETARIA DE COMUNICACIONES Y TRANSPORTES COORDINACION DE LA SOCIEDAD DE LA INFORMACION Y EL CONOCI,MX,Computer and Information Technology,Software Development
28403,"RadioMovil Dipsa, S.A. de C.V.",MX,Service,"Law, Business, and Consulting Services"
28404,"Telefonia por Cable, S.A. de C.V.",MX,Computer and Information Technology,
28405,"Spectro Networks Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28406,"Grupo Nacional Provincial, S. A. B.",MX,Finance and Insurance,
28407,KBEST TECHNOLOGIES DE MEXICO,MX,,
28408,"Gdlicanet, S.A. de C.V.",MX,Computer and Information Technology,Technology Consulting Services
28409,ENI NETWORKS SAPI de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28410,Next Telekom S.A.P.I. de C.V.,MX,"Retail Stores, Wholesale, and E-commerce Sites",Other
28411,Aire Cable S.A. de C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28412,UNINET,MX,,
28413,UNINET,MX,,
28414,TOTAL PLAY TELECOMUNICACIONES SA DE CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28415,"Grupo de Telecomunicaciones Mexicanas, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28416,"CORE MULTISERVICE STRATEGIES, S. DE RL DE C.V.",MX,Service,
28417,Universidad Autónoma de Chiapas,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28418,NUEVA RED INTERNET DE MEXICO S DE RL DE CV,MX,Computer and Information Technology,
28419,"Señal Interactiva, S.A De C.V",MX,Computer and Information Technology,Hosting and Cloud Provider
28420,ULTRAVISION SA DE CV,MX,"Media, Publishing, and Broadcasting",Radio and Television Providers
28421,Farmacias de Similares S.A de C.V,MX,"Retail Stores, Wholesale, and E-commerce Sites",
28422,Comision Federal de Electricidad,MX,Utilities (Excluding Internet Service),
28423,Truxgo S. de R.L de C.V,MX,Computer and Information Technology,Search
28424,DISTROKOM S DE RL DE CV,MX,Computer and Information Technology,Technology Consulting Services
28425,"Convergencia Inalámbrica, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28426,VAMRA COMUNICACIONES S.A. DE C.V.,MX,Computer and Information Technology,
28427,MOBILE CASHIER SYSTEMS SA DE CV,MX,Computer and Information Technology,Software Development
28428,"INTERPHONET TELECOM, SA DE CV",MX,Computer and Information Technology,Internet Service Provider (ISP)
28429,Enlace de Datos y Redes SA de CV,MX,"Retail Stores, Wholesale, and E-commerce Sites",
28431,RAUL DUARTE URITA,MX,Computer and Information Technology,Internet Service Provider (ISP)
28432,"Telecable del Mineral, S. A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28433,Doornet sa de cv,MX,Computer and Information Technology,Internet Service Provider (ISP)
28434,CEDSAMOVIL SA DE CV,MX,"Retail Stores, Wholesale, and E-commerce Sites",
28435,JAVIER TAMAYO GARCIA,MX,Computer and Information Technology,Hosting and Cloud Provider
28436,Konecta Sonora SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28437,DUPLICACION DIGITAL SA DE CV,MX,Other,
28438,"ATC HOLDING FIBRA MEXICO, S. DE R.L. DE C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28439,Mediared Telecomunicaciones S.A de C.V.,MX,Computer and Information Technology,Technology Consulting Services
28440,INPRO TELECOM SA DE CV,MX,Computer and Information Technology,Technology Consulting Services
28441,INTERNET EXCHANGE SERVICES YUCATAN,MX,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services"
28442,GLOBAL NETWORKS SOLUTIONS SA DE CV,MX,Computer and Information Technology,
28443,EDGEUNO MEXICO SA DE CV,MX,,
28444,Consorcio para el Intercambio de Trafico de Internet A. C.,MX,,
28445,TECNOLOGIA EN TELECOMUNICACIONES DEL CENTRO S.A. DE C.V,MX,,
28446,NUEVA WAL MART DE MEXICO,MX,,
28447,ONFIBER SA DE CV,MX,,
28448,"FABRICA DE PAPEL SAN FRANCISCO, S.A. DE C.V.",MX,Manufacturing,Other
28449,Home Interiors de Mexico S. de R.L. de C.V.,MX,"Retail Stores, Wholesale, and E-commerce Sites",
28451,Ignacio Sanchez Gutierrez,MX,,
28452,Radio Enlaces del Bajio,MX,,
28453,GK TELECOMUNICACIONES,MX,Computer and Information Technology,Internet Service Provider (ISP)
28454,Servicios DR de México SA de CV,MX,Service,Other
28455,Servicio Postal Mexicano,MX,,
28457,"UNIVERSIDAD LATINOAMERICANA, S.C.",MX,Education and Research,Elementary and Secondary Schools
28458,IENTC S DE RL DE CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28459,MICHELLE MORENO MORENO,MX,,
28460,ASESORIA DE EMPRESAS S.A. DE C.V.,MX,Service,"Law, Business, and Consulting Services"
28464,Consorcio para el Intercambio de Trafico de Internet A. C.,MX,,
28466,La Torre del Vigia A.R.,MX,Community Groups and Nonprofits,Churches and Religious Organizations
28468,Network Information Center México,MX,Computer and Information Technology,Internet Service Provider (ISP)
28469,AT&T COMUNICACIONES DIGITALES S DE RL,MX,Computer and Information Technology,Internet Service Provider (ISP)
28472,Universidad Autonoma del Estado de Hidalgo,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28474,Colegio de Postgraduados,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28475,Fomento Económico Mexicano S. A. de C. V.,MX,Finance and Insurance,"Investment, Portfolio Management, Pensions and Funds"
28476,"Aeropuerto Internacional de la Ciudad de Mexico, S.A. de C.V.",MX,"Freight, Shipment, and Postal Services",Other
28477,UNIVERSIDAD AUTONOMA DEL ESTADO DE MORELOS,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28478,Escuela Bancaria y Comercial,MX,Education and Research,Elementary and Secondary Schools
28479,PEGASO PCS,MX,Computer and Information Technology,Internet Service Provider (ISP)
28480,"Industrias Xignux, S.A. de C.V.",MX,Service,"Law, Business, and Consulting Services"
28481,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,
28482,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28483,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28484,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28485,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28486,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28487,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28488,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28489,SERVICIO Y EQUIPO EN TELEFONÍA INTERNET Y TV S.A. DE C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28490,TELEVISION POR CABLE DEL NORTE DE SONORA S.A. DE C.V.,MX,"Media, Publishing, and Broadcasting",Radio and Television Providers
28491,INSTITUTO NACIONAL DE ESTADISTICA Y GEOGRAFIA,MX,Government and Public Administration,"Government and Regulatory Agencies, Administrations, Departments, and Services"
28492,"Softtek Servicios Corporativos, S.A. de C.V.",MX,Computer and Information Technology,Software Development
28493,Universidad Pedagogica Nacional,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28494,Corporacion Nacional de Radiodeterminacion S.A. de C.V.,MX,Computer and Information Technology,Internet Service Provider (ISP)
28495,Network Information Center México,MX,,
28496,Network Information Center México,MX,,
28497,Network Information Center México,MX,,
28498,Network Information Center México,MX,Computer and Information Technology,Internet Service Provider (ISP)
28499,Network Information Center México,MX,Computer and Information Technology,Internet Service Provider (ISP)
28500,Network Information Center México,MX,Computer and Information Technology,Internet Service Provider (ISP)
28501,GOBIERNO DEL ESTADO DE MICHOACAN,MX,Community Groups and Nonprofits,Other
28502,Alestra Innovacion Digital S de RL de CV,MX,Computer and Information Technology,Phone Provider
28503,GSAT COMUNICACIONES SA DE CV,MX,Computer and Information Technology,Satellite Communication
28504,Network Information Center México,MX,,
28505,"Universidad Regiomontana, A.C.",MX,Education and Research,"Colleges, Universities, and Professional Schools"
28506,Sistemas de Communicacion GM S.A. de C.V.,MX,Computer and Information Technology,
28507,"TV Azteca, S.A.B. de C.V.",MX,,
28508,Desarollo Integral Administrativo S.A. de C.V.,MX,Service,"Law, Business, and Consulting Services"
28509,Cablemas Telecomunicaciones SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28510,Network Information Center México,MX,,
28511,Network Information Center México,MX,,
28512,Cablemas Telecomunicaciones SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28513,UNINET,MX,Computer and Information Technology,Internet Service Provider (ISP)
28514,"Abastecedora de Conectividad, S.A. de C.V.",MX,Computer and Information Technology,Technology Consulting Services
28515,"Servicios Electronicos Globales, S.A. de C.V.",MX,Service,"Law, Business, and Consulting Services"
28516,Cablemas Telecomunicaciones SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28517,"TV Azteca, S.A.B. de C.V.",MX,"Media, Publishing, and Broadcasting",Radio and Television Providers
28518,"Television Internacional, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28519,"Universidad Autonoma de Guadalajara, A.C.",MX,Education and Research,"Colleges, Universities, and Professional Schools"
28520,"Omnilife de Mexico, S.A. de C.V.",MX,"Retail Stores, Wholesale, and E-commerce Sites","Food, Grocery, Beverages"
28521,AT&T COMUNICACIONES DIGITALES S DE RL,MX,Computer and Information Technology,Internet Service Provider (ISP)
28522,JOSE MIGUEL MACIAS CONTRERAS,MX,Computer and Information Technology,Internet Service Provider (ISP)
28523,"Cablevision Red, S.A de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28524,"Imatech Networks, S.A. de C.V.",MX,Computer and Information Technology,Software Development
28525,"TV Cable de Oriente, S.A de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28526,Universidad Autonoma del Estado de Mexico,MX,Education and Research,"Colleges, Universities, and Professional Schools"
28529,"Red Five Two, S.A. de C.V.",MX,Service,"Law, Business, and Consulting Services"
28530,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28531,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28532,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28533,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28534,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28535,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28536,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28537,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28538,Cablemas Telecomunicaciones SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28539,JOSE MIGUEL MACIAS CONTRERAS,MX,Computer and Information Technology,Internet Service Provider (ISP)
28540,Network Information Center México,MX,Computer and Information Technology,Internet Service Provider (ISP)
28541,"Mega Cable, S.A. de C.V.",MX,Computer and Information Technology,
28543,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28544,"Mexico Red de Telecomunicaciones, S. de R.L. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28545,Cablemas Telecomunicaciones SA de CV,MX,Computer and Information Technology,Internet Service Provider (ISP)
28546,"Servnet Mexico, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28547,"Home Depot Mexico, S. de R.L. de C.V.",MX,"Retail Stores, Wholesale, and E-commerce Sites",
28548,"Cablevisión, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28549,"Cable y Comunicacion de Campeche, S.A. de C.V.",MX,Computer and Information Technology,Internet Service Provider (ISP)
28550,UNINET,MX,Computer and Information Technology,Internet Service Provider (ISP)
28551,NUEVA WAL MART DE MEXICO,MX,Service,"Law, Business, and Consulting Services"
28552,"Axess Net. Solutions México, S. A. de C.V.",MX,Computer and Information Technology,Software Development
